observer,trial,x,y,dur,onset,n
1,302,956.1,465.7,8,0,1
1,302,949.6,511.3,1342,1358,2
1,303,951.3,524.5,1270,0,1
1,303,1143.7,459.5,156,192,2
1,304,949.8,527.1,1292,0,1
1,304,962.8,744.6,174,212,2
1,305,950.4,522.9,1258,0,1
1,305,866.9,371.9,124,168,2
1,306,954.9,525.2,1310,0,1
1,306,833.4,688.2,154,206,2
1,307,953.2,534.2,1142,0,1
1,307,1044,429.3,116,152,2
1,308,949.7,539.2,1330,0,1
1,308,748.7,609.8,180,218,2
1,309,955.2,529.7,1296,0,1
1,309,745.8,614.3,190,226,2
1,310,947.2,553.5,192,0,1
1,310,943.8,524.4,168,396,2
1,310,952.4,544.3,670,1076,3
1,310,1147,458.6,280,1398,4
1,311,955.6,540.4,1084,0,1
1,312,964.6,487.4,32,0,1
1,312,956.5,537.1,1196,1204,2
1,312,968.2,737,158,1400,3
1,313,958.1,533.9,1372,0,1
1,313,1185.8,638.7,246,282,2
1,314,958,540.7,1372,0,1
1,315,949.5,538.2,446,0,1
1,315,963.1,545.5,620,810,2
1,316,948.9,543.6,300,0,1
1,316,959.2,533.4,274,494,2
1,316,959.1,549.2,214,932,3
1,316,1136.6,480.6,160,1128,4
1,317,959.4,543.2,1280,0,1
1,317,1121.4,479.1,140,176,2
1,318,960.4,531.4,242,0,1
1,318,962.6,547.9,820,1018,2
1,319,968,534.1,266,0,1
1,319,967.3,542.9,864,1030,2
1,319,952.2,354.7,156,1222,3
1,320,962.2,560.4,218,0,1
1,320,959.6,549,852,1094,2
1,320,751.2,629.8,182,1312,3
1,321,957.7,544.3,1254,0,1
1,321,1200.2,547.8,160,196,2
1,322,959.3,543.1,1236,0,1
1,322,759.8,465.7,140,180,2
1,323,947.6,529.9,296,0,1
1,323,951.2,541.1,800,1030,2
1,323,753.8,615.1,134,1202,3
1,324,983.3,472.2,32,0,1
1,324,969.1,529.8,1126,1140,2
1,324,975.2,343.9,142,1322,3
1,325,965.3,538.6,1338,0,1
1,326,958.9,544.3,678,0,1
1,326,957.5,544.7,468,610,2
1,326,881.7,701.3,138,784,3
1,327,960.3,543.9,1258,0,1
1,327,964.7,344.7,152,192,2
